name,source,complexid,saftype,pri_add,modified,faci_dom,facility_t,b7_sc,placeid,bin,sos,segmentid,borough,created,latitude,longitude,nad83_x,nad83_y,borough_name,facility_t_name,is_test
VERRAZANO BRIDGE UPPER LEVEL,OTHER,0,N,0.0,2018-01-10,8,6,39728018,1026899,0,1,306821,3,2015-10-16,40.60730314393105,-74.04261429156107,296.39282775366183,48.93142665405012,Brooklyn,Transportation Facility,False
VERRAZZANO BRIDGE LOWER LEVEL,OTHER,0,N,0.0,2018-01-10,8,6,39728003,1026900,0,1,306819,3,2015-10-16,40.607246488733075,-74.04284427793243,296.3733603099966,48.925144786526786,Brooklyn,Transportation Facility,True
VERRAZZANO BRIDGE UPPER LEVEL,OTHER,0,N,0.0,2021-03-31,8,6,59718002,1026901,0,1,331058,5,2015-10-16,40.60659737717664,-74.0442973554536,296.25034588771405,48.85312438487617,Staten Island,Transportation Facility,False
VERRAZZANO BRIDGE LOWER LEVEL,OTHER,0,N,0.0,2021-03-31,8,6,59718003,1026902,0,1,331060,5,2015-10-16,40.60668477661086,-74.04411432923285,296.2658409414172,48.862821969382445,Staten Island,Transportation Facility,False
KOCH BR PEDESTRIAN AND BIKE PATH,DoITT,0,N,0.0,2020-03-16,8,6,19792015,1026908,0,1,138896,1,2015-10-20,40.758486812294365,-73.9580216105277,303.5440895128099,65.71996629333151,Manhattan,Transportation Facility,True
KOCH BR PEDESTRIAN AND BIKE,DoITT,0,N,0.0,2020-03-16,8,6,49734017,1026909,0,1,139388,4,2015-10-20,40.755299567687175,-73.95061614358269,304.16961436261727,65.36635350738162,Queens,Transportation Facility,False
145 ST BRIDGE PED AND BIKE,OTHER,0,N,0.0,2018-04-19,8,6,19775004,1026910,0,1,295140,1,2015-10-21,40.81958142887047,-73.93356569314234,305.6040270222336,72.50574494029628,Manhattan,Transportation Facility,False
145 ST BRIDGE PED AND BIKE,OTHER,0,N,0.0,,8,6,29830007,1026911,0,1,262102,2,2015-10-21,40.81947961779272,-73.93212917315464,305.72522574145063,72.49453176463221,Bronx,Transportation Facility,False
28 AV PEDESTRIAN,OTHER,0,N,0.0,2019-05-09,8,6,45871338,1026912,0,1,233435,4,2015-10-21,40.77872219308121,-73.76817784834009,319.56872637175024,67.992125558464,Queens,Transportation Facility,False
3 AVE-E 128 STREET PED,OTHER,0,N,0.0,2022-06-15,8,6,19751035,1026913,0,2,342199,1,2015-10-21,40.80564228988079,-73.93454864454048,305.52225832289764,70.95774825921745,Manhattan,Transportation Facility,False
3 AVENUE BRIDGE BIKE,DoITT,0,N,0.0,2016-09-21,8,6,29828003,1026928,0,2,301571,2,2015-10-23,40.80788100477584,-73.93178265616959,305.7554622576712,71.2065342377319,Bronx,Transportation Facility,False
3 AV BRIDGE PED AND BIKE,DoITT,0,N,0.0,2022-10-12,8,6,19771002,1026929,0,2,345286,1,2015-10-23,40.80738730455517,-73.933127752929,305.6420069911351,71.15162160989901,Manhattan,Transportation Facility,False
BAYONNE BR PED AND BIKE,DoITT,0,N,0.0,2021-04-07,8,6,59700004,1026931,0,1,331662,5,2015-10-23,40.640951703696096,-74.14242545751016,287.95161922851656,52.67690585851176,Staten Island,Transportation Facility,False
BROOKLYN BRIDGE PED AND BIKE,DoITT,0,N,0.0,,8,6,19778007,1026932,0,1,242959,1,2015-10-23,40.7079895499975,-73.99925104558386,300.0626808417931,60.11148730112079,Manhattan,Transportation Facility,False
BROOKLYN BRDG PED AND BIKE,DoITT,3960,N,0.0,2018-01-22,8,6,39734004,1026933,0,1,242964,3,2015-10-23,40.70382390966626,-73.99400146257119,300.5063288733974,59.648919252889094,Brooklyn,Transportation Facility,False
COLONIAL AVE PEDESTRIAN,DoITT,0,N,0.0,,8,6,45871313,1026934,0,1,177185,4,2015-10-23,40.73909667385638,-73.8475843699289,312.8732661717454,63.577072398964354,Queens,Transportation Facility,False
CROSS BAY VET MEM BRIDGE BIKE PATH,DoITT,0,N,0.0,2019-12-20,8,6,49725004,1026935,0,1,235135,4,2015-10-23,40.59324636874174,-73.82000366280647,315.2361641558507,47.38524883863432,Queens,Transportation Facility,False
DYCKMAN HOUSES 10 AVE PED,DoITT,0,N,0.0,,8,6,19751038,1026936,0,2,267315,1,2015-10-23,40.85942950137242,-73.92261177027989,306.5242296525533,76.93163105682406,Manhattan,Transportation Facility,True
EAST    6 ST PED BR OVER FDR DRV,DoITT,0,N,0.0,,8,6,19751020,1026937,0,2,240425,1,2015-10-23,40.72125569962278,-73.97465434848654,302.1408000501471,61.58497506276229,Manhattan,Transportation Facility,False
GW BRIDGE BIKE AND PEDESTRIAN,DoITT,0,N,0.0,2019-12-20,8,6,19781013,1026938,0,2,242166,1,2015-10-23,40.85125895248109,-73.95062166945662,304.16314084168226,76.0225803221939,Manhattan,Transportation Facility,False
GREENWOOD AVE PEDESTRIAN,DoITT,0,N,0.0,,8,6,37016505,1026939,0,2,186325,3,2015-10-23,40.65139618446793,-73.97638285803387,301.9968528783372,53.827208892210194,Brooklyn,Transportation Facility,True
MACOMBS DAM BRIDGE PEDESTRIAN,DoITT,0,N,0.0,2018-04-19,8,6,19794002,1026940,0,1,295143,1,2015-10-23,40.82800203010812,-73.934275932126,305.54340711504227,73.44080491442485,Manhattan,Transportation Facility,False
MACOMBS DAM BRDG PEDESTRIAN,DoITT,0,N,0.0,2019-12-20,8,6,29826002,1026941,0,2,240638,2,2015-10-23,40.82816305583072,-73.93299829473433,305.65116585505143,73.45876843133333,Bronx,Transportation Facility,True
